City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
96,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
98,Hithadhoo,MV,81.64,overcast clouds,-0.6,73.0833,Scoop Guest House
103,Nata,PA,76.87,overcast clouds,8.3333,-80.5167,Rey David
114,Tabuk,PH,78.53,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
116,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
119,Tanout,NE,79.05,broken clouds,14.9709,8.8879,
122,Cayenne,GF,82.09,light rain,4.9333,-52.3333,Hôtel Le Dronmi
123,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
129,San Policarpo,PH,82.67,broken clouds,12.1791,125.5072,Agapita M. Nicart
131,Winneba,GH,79.27,overcast clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
133,Gushikawa,JP,79.83,few clouds,26.3544,127.8686,Kirari Guest House
134,Weligama,LK,79.11,overcast clouds,5.9667,80.4167,Weligama Bay Resort
137,Kourou,GF,82.11,broken clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
140,Airai,TL,76.42,broken clouds,-8.9266,125.4092,Juvinal Martin
141,Pandan,PH,83.7,scattered clouds,14.0453,124.1694,Bonifacio Lodge
150,Port Augusta,AU,77.14,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
152,Kulhudhuffushi,MV,81.91,light rain,6.6221,73.07,Haajy Guest House 1
163,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
177,Nioro,GM,75.94,broken clouds,13.35,-15.75,
179,Caravelas,BR,75.18,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
180,Novo Aripuana,BR,77.16,overcast clouds,-5.1206,-60.3797,POUSADA Flexy
186,Lagunas,PE,77.92,light rain,-5.2269,-75.6753,Hospedaje Eco
205,Carutapera,BR,77.72,overcast clouds,-1.195,-46.02,Lidera
210,Gamba,GA,75.99,light rain,-2.65,10.0,
211,Hobyo,SO,79.77,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
213,Tete,MZ,80.69,clear sky,-16.1564,33.5867,Zambeze Paraíso Misterioso
218,Samarai,PG,83.79,overcast clouds,-10.6167,150.6667,Nuli Sapi
219,Yulara,AU,76.84,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
220,The Valley,AI,82.09,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
222,Victoria,HK,80.04,scattered clouds,22.2855,114.1577,Mini Hotel Central
225,Dingle,PH,83.3,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
232,Bengkulu,ID,80.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
238,Oum Hadjer,TD,80.53,scattered clouds,13.2954,19.6966,
242,Nicoya,CR,76.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
251,Maicao,CO,77.49,overcast clouds,11.3832,-72.2432,Hotel Sancho
256,Banda Aceh,ID,81.95,overcast clouds,5.5577,95.3222,Sulthan Hotel International
259,Mecca,SA,77.61,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
268,Victor Harbor,AU,83.19,clear sky,-35.5667,138.6167,McCracken Country Club
270,Flinders,AU,76.17,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
272,Kavaratti,IN,81.21,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
273,Tautira,PF,84.22,scattered clouds,-17.7333,-149.15,Pension Oaoa
275,Vila Do Maio,CV,77.79,overcast clouds,15.1333,-23.2167,Hotel Marilu
276,Santarem,BR,82.53,clear sky,-2.4431,-54.7083,Ecotur Lodge
281,Kudahuvadhoo,MV,83.46,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
285,Araouane,ML,81.0,overcast clouds,18.9048,-3.5265,
290,Qui Nhon,VN,80.11,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
