City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
109,Awjilah,LY,29.1081,21.2869,64.9,86,71,7.14,broken clouds,2021-11-01 01:30:10
110,Brae,GB,60.3964,-1.353,49.91,87,89,14.03,overcast clouds,2021-11-01 01:30:11
111,East London,ZA,-33.0153,27.9116,64.78,83,88,13.42,overcast clouds,2021-11-01 01:30:12
112,Finnsnes,NO,69.2296,17.9811,42.76,93,100,4.74,overcast clouds,2021-11-01 01:30:12
113,Shemysheyka,RU,52.892,45.3928,46.62,86,6,7.18,clear sky,2021-11-01 01:30:12
114,Tabuk,PH,17.4189,121.4443,78.53,77,89,5.23,overcast clouds,2021-11-01 01:30:13
115,Hobart,AU,-42.8794,147.3294,66.02,54,75,5.99,broken clouds,2021-11-01 01:25:29
116,Atuona,PF,-9.8,-139.0333,78.73,73,0,17.58,clear sky,2021-11-01 01:30:13
117,Vadso,NO,70.0744,29.7487,25.68,82,100,6.67,overcast clouds,2021-11-01 01:30:14
118,Egvekinot,RU,66.3167,-179.1667,-1.62,84,87,6.85,overcast clouds,2021-11-01 01:30:14
119,Tanout,NE,14.9709,8.8879,79.05,19,61,10.38,broken clouds,2021-11-01 01:30:14
120,Mount Gambier,AU,-37.8333,140.7667,66.11,45,4,3.44,clear sky,2021-11-01 01:30:15
121,Kungsbacka,SE,57.4872,12.0761,57.52,90,100,18.01,overcast clouds,2021-11-01 01:30:15
122,Cayenne,GF,4.9333,-52.3333,82.09,82,75,3.0,light rain,2021-11-01 01:30:05
123,Avarua,CK,-21.2078,-159.775,77.05,69,75,17.27,broken clouds,2021-11-01 01:30:15
124,Mapiripan,CO,2.8892,-72.1256,72.86,99,100,3.24,overcast clouds,2021-11-01 01:30:16
125,Yermakovskoye,RU,53.2831,92.4003,33.85,57,100,20.58,overcast clouds,2021-11-01 01:30:16
126,Utiel,ES,39.5667,-1.2,68.04,86,100,27.22,overcast clouds,2021-11-01 01:30:16
